epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,1938.88,1.34269,1.65759,1.18453,0.54436,0.35779,0.37711,0.25393,1.28924,1.31328,1.12738,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2218.01,1.34327,1.65469,1.18342,0.54876,0.35534,0.37791,0.25471,1.28969,1.31199,1.12784,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2497.16,1.34013,1.6528,1.18199,0.53403,0.36169,0.37835,0.2553,1.28896,1.31085,1.12726,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2778.24,1.33983,1.64941,1.18186,0.53514,0.36248,0.3791,0.25529,1.28788,1.31018,1.12661,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3057.3,1.33751,1.64925,1.1803,0.53242,0.36542,0.37918,0.25563,1.28717,1.30887,1.12591,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3335.44,1.33674,1.64305,1.18027,0.54375,0.36141,0.37979,0.25621,1.2867,1.30808,1.12528,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3613.58,1.33531,1.64128,1.1795,0.54367,0.36332,0.38114,0.25668,1.28648,1.30658,1.1252,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3888.97,1.33597,1.63484,1.17883,0.5398,0.36398,0.38166,0.25731,1.28471,1.30426,1.12427,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4165.74,1.33278,1.63246,1.17723,0.53803,0.36613,0.38235,0.25749,1.28508,1.30336,1.12424,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4440.99,1.33181,1.62844,1.17647,0.53961,0.36714,0.38268,0.25764,1.28485,1.30275,1.12374,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4714.62,1.32979,1.62586,1.17473,0.54223,0.36647,0.38315,0.25789,1.28421,1.3015,1.12312,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4989.77,1.32908,1.62315,1.17482,0.53964,0.368,0.38368,0.25813,1.28345,1.30004,1.12208,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5266.04,1.32656,1.62164,1.17344,0.54025,0.3685,0.38435,0.259,1.28206,1.29842,1.12134,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5540.8,1.32524,1.6154,1.17252,0.54685,0.3672,0.38489,0.25971,1.28067,1.29648,1.12033,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5814.85,1.32356,1.61177,1.17128,0.54812,0.36736,0.38558,0.25986,1.27971,1.29485,1.11969,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6089.52,1.32155,1.61036,1.17122,0.54958,0.36733,0.38612,0.2602,1.2785,1.2926,1.11883,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6365.65,1.32141,1.60628,1.17043,0.55744,0.36434,0.38627,0.26104,1.27781,1.29111,1.11816,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6640.3,1.31952,1.60166,1.16924,0.55575,0.36713,0.38692,0.26147,1.27711,1.29003,1.11744,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6910.73,1.31546,1.59631,1.16779,0.55799,0.36702,0.38798,0.26196,1.27642,1.28905,1.117,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7180.16,1.31502,1.59739,1.16852,0.55536,0.36809,0.38867,0.26265,1.27587,1.28775,1.11679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7447.54,1.31436,1.59077,1.16752,0.55132,0.37081,0.38942,0.26294,1.27568,1.28623,1.11681,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7715.65,1.3123,1.58611,1.16591,0.55382,0.37104,0.39044,0.26331,1.2754,1.28501,1.11631,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7984.27,1.31063,1.58198,1.16381,0.54768,0.37107,0.39015,0.26372,1.27482,1.28395,1.11571,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8252.63,1.31062,1.58003,1.16371,0.55165,0.37025,0.39031,0.26377,1.2743,1.28275,1.11496,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8521.01,1.30512,1.57321,1.16166,0.55302,0.36965,0.39082,0.26433,1.2735,1.2822,1.11451,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8788.21,1.30533,1.57137,1.16136,0.55485,0.36962,0.39123,0.26515,1.27264,1.28074,1.11419,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9053.81,1.30311,1.56672,1.16032,0.55943,0.36747,0.39161,0.26519,1.27204,1.27988,1.11369,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9321.42,1.30037,1.56079,1.15898,0.55724,0.36883,0.39246,0.26573,1.27104,1.27862,1.11295,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9588.43,1.29938,1.55797,1.15883,0.55,0.37325,0.39273,0.26603,1.26975,1.27759,1.11217,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9856.03,1.29705,1.55432,1.15786,0.54966,0.37459,0.3934,0.26627,1.26914,1.27608,1.11196,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10123.4,1.2961,1.5475,1.15652,0.548,0.37677,0.39424,0.26683,1.26859,1.2745,1.11131,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10391.1,1.29502,1.54402,1.15548,0.55184,0.37567,0.39469,0.26701,1.26824,1.27373,1.111,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10658.2,1.29173,1.53982,1.15387,0.54807,0.37857,0.39498,0.26698,1.26818,1.27213,1.11092,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10926,1.28908,1.53462,1.1526,0.55154,0.378,0.39557,0.26728,1.2678,1.27065,1.11044,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11193.2,1.28733,1.53287,1.15145,0.55161,0.37893,0.39613,0.26794,1.26743,1.27007,1.10973,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
