epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,17467.3,1.39333,0.83512,0.96952,0.72314,0.41734,0.46354,0.26819,1.28183,0.70271,0.92853,0.00892928,0.00892928,0.00892928
66,17735.4,1.3937,0.83759,0.96992,0.72146,0.41516,0.46342,0.26827,1.28144,0.70235,0.92846,0.00889687,0.00889687,0.00889687
67,18002.9,1.39192,0.83539,0.96977,0.72293,0.4175,0.46385,0.26826,1.28115,0.70204,0.92837,0.00886404,0.00886404,0.00886404
68,18270.5,1.39212,0.83593,0.97035,0.72525,0.41706,0.46403,0.26843,1.28094,0.70186,0.92829,0.00883079,0.00883079,0.00883079
69,18538.4,1.39219,0.8353,0.96936,0.7221,0.41749,0.46388,0.2687,1.28082,0.70149,0.92824,0.00879713,0.00879713,0.00879713
70,18805.8,1.39055,0.83419,0.96954,0.7154,0.42191,0.46431,0.26863,1.28072,0.70125,0.92809,0.00876305,0.00876305,0.00876305
71,19073.8,1.38974,0.83243,0.96863,0.71715,0.42207,0.46433,0.2689,1.2806,0.70107,0.92795,0.00872857,0.00872857,0.00872857
72,19341.7,1.39087,0.83454,0.96857,0.71945,0.42193,0.46421,0.2688,1.28034,0.70076,0.92778,0.00869368,0.00869368,0.00869368
73,19609.5,1.38853,0.83172,0.96762,0.71534,0.42282,0.46481,0.269,1.28012,0.70051,0.92763,0.00865839,0.00865839,0.00865839
74,19879.5,1.38935,0.83282,0.96809,0.72068,0.42096,0.46488,0.2692,1.27977,0.70026,0.92746,0.00862271,0.00862271,0.00862271
75,20147.8,1.39031,0.83235,0.96853,0.71778,0.42215,0.46512,0.26937,1.27954,0.69997,0.9273,0.00858664,0.00858664,0.00858664
76,20417.5,1.38789,0.83135,0.96826,0.71889,0.42077,0.46543,0.26931,1.27927,0.69988,0.9272,0.00855018,0.00855018,0.00855018
77,20685.8,1.38832,0.83101,0.96789,0.72201,0.42018,0.4657,0.26959,1.27917,0.69972,0.92702,0.00851333,0.00851333,0.00851333
78,20955.9,1.38687,0.83013,0.96695,0.72198,0.42007,0.4661,0.26978,1.27882,0.69937,0.9268,0.00847611,0.00847611,0.00847611
79,21223.8,1.38954,0.83159,0.96865,0.72232,0.42015,0.46641,0.27007,1.2786,0.69905,0.92673,0.00843851,0.00843851,0.00843851
80,21493.9,1.3892,0.83113,0.9681,0.72619,0.41872,0.46667,0.27024,1.27826,0.69871,0.9266,0.00840054,0.00840054,0.00840054
81,21761.9,1.38488,0.83006,0.9676,0.72526,0.41913,0.46704,0.27032,1.27801,0.69864,0.92654,0.0083622,0.0083622,0.0083622
82,22031.6,1.38684,0.83025,0.9673,0.72866,0.41795,0.46746,0.2704,1.27771,0.69841,0.92636,0.00832349,0.00832349,0.00832349
83,22300.2,1.38643,0.8288,0.96737,0.73142,0.41802,0.46764,0.27056,1.27718,0.69813,0.92623,0.00828443,0.00828443,0.00828443
84,22569.2,1.38702,0.82969,0.96664,0.73173,0.41814,0.46826,0.27064,1.2772,0.69794,0.92615,0.00824502,0.00824502,0.00824502
85,22838.7,1.38593,0.82919,0.9675,0.73322,0.41744,0.46831,0.27076,1.27707,0.69773,0.92606,0.00820525,0.00820525,0.00820525
86,23107.7,1.38367,0.8267,0.96631,0.72941,0.4197,0.46883,0.27114,1.27696,0.69758,0.92599,0.00816514,0.00816514,0.00816514
87,23376.1,1.38388,0.82687,0.96573,0.72921,0.42039,0.46922,0.2712,1.2767,0.6974,0.92588,0.00812468,0.00812468,0.00812468
88,23644.5,1.38286,0.82769,0.96614,0.72525,0.42218,0.46936,0.2714,1.27639,0.69707,0.92576,0.00808389,0.00808389,0.00808389
89,23911.8,1.38433,0.82701,0.96706,0.71861,0.4245,0.46951,0.27164,1.27595,0.69684,0.92565,0.00804277,0.00804277,0.00804277
90,24181.4,1.3834,0.82737,0.96685,0.71855,0.42434,0.46969,0.27148,1.27576,0.69667,0.9256,0.00800131,0.00800131,0.00800131
91,24450.8,1.38271,0.82665,0.96612,0.72049,0.4242,0.47017,0.27179,1.27559,0.6965,0.92555,0.00795954,0.00795954,0.00795954
92,24719,1.38165,0.82562,0.96549,0.7198,0.42412,0.46996,0.27169,1.27529,0.69627,0.92557,0.00791744,0.00791744,0.00791744
93,24987.4,1.38266,0.82529,0.96561,0.71918,0.42532,0.47026,0.27179,1.27516,0.69609,0.92548,0.00787503,0.00787503,0.00787503
94,25256.4,1.38304,0.82572,0.96661,0.71931,0.42558,0.47023,0.27183,1.275,0.69587,0.92545,0.00783231,0.00783231,0.00783231
95,25527.1,1.38014,0.82391,0.96589,0.72003,0.42575,0.47055,0.27196,1.27497,0.6957,0.92549,0.00778929,0.00778929,0.00778929
96,25799,1.38141,0.824,0.96445,0.72417,0.42511,0.47072,0.27238,1.27484,0.69545,0.92537,0.00774596,0.00774596,0.00774596
97,26067.8,1.38,0.82357,0.96629,0.72782,0.42478,0.47094,0.27247,1.27482,0.69536,0.92528,0.00770234,0.00770234,0.00770234
98,26339.6,1.38092,0.82354,0.96507,0.7267,0.42559,0.47128,0.27264,1.27474,0.69504,0.92511,0.00765843,0.00765843,0.00765843
99,26607.7,1.3803,0.82271,0.96487,0.72658,0.42576,0.4712,0.2727,1.27462,0.69499,0.92504,0.00761423,0.00761423,0.00761423
100,26879,1.37832,0.82224,0.96491,0.72604,0.42644,0.4716,0.27283,1.27434,0.69495,0.9249,0.00756976,0.00756976,0.00756976
101,27147.2,1.37986,0.82302,0.96499,0.7283,0.42472,0.47171,0.27271,1.27413,0.69496,0.92477,0.007525,0.007525,0.007525
102,27417.7,1.38033,0.82165,0.96438,0.73027,0.42541,0.47188,0.2729,1.27394,0.69485,0.92468,0.00747997,0.00747997,0.00747997
103,27688.3,1.37871,0.82215,0.96449,0.73101,0.42702,0.47217,0.27315,1.27383,0.69465,0.92459,0.00743468,0.00743468,0.00743468
104,27958.9,1.37691,0.82148,0.96467,0.72999,0.42668,0.47213,0.27316,1.27375,0.69456,0.92449,0.00738913,0.00738913,0.00738913
105,28228,1.3787,0.8211,0.9636,0.72803,0.42662,0.47234,0.27295,1.27367,0.69457,0.92449,0.00734332,0.00734332,0.00734332
106,28500.6,1.37746,0.81982,0.96348,0.72553,0.42646,0.47268,0.27289,1.27355,0.6943,0.92437,0.00729725,0.00729725,0.00729725
